1401.12.25 = {
  wool = 6.5
}
1560.7.4 = {
  chinaware = 31.7
  cloth = 19.1
  coffee = 48.9
  copper = 25.6
  cotton = 33.9
  fish = 7.2
  fur = 14.8
  gold = 40
  grain = 9.1
  iron = 29.9
  ivory = 20.4
  naval_supplies = 8.0
  salt = 25.4
  slaves = 18.0
  spices = 25.1
  sugar = 38.2
  tea = 22.4
  tobacco = 55.8
  wine = 19.1
  wool = 6.5
}
1571.1.1 = {
  chinaware = 34.3
  cloth = 21.0
  coffee = 53.4
  copper = 13.6
  cotton = 35.3
  fish = 7.8
  fur = 20.4
  gold = 40
  grain = 9.4
  iron = 14.9
  ivory = 21.9
  naval_supplies = 5.6
  salt = 25.3
  slaves = 18.0
  spices = 26.3
  sugar = 39.0
  tea = 24.2
  tobacco = 62.2
  wine = 19.3
  wool = 6.2
}
1585.6.25 = {
  chinaware = 39.0
  cloth = 22.2
  coffee = 53.0
  copper = 14.3
  cotton = 35.2
  fish = 7.0
  fur = 20.0
  gold = 40
  grain = 9.4
  iron = 14.8
  ivory = 25.1
  naval_supplies = 5.7
  salt = 27.9
  slaves = 18.0
  spices = 30.0
  sugar = 39.0
  tea = 27.8
  tobacco = 62.2
  wine = 18.5
  wool = 6.5
}




1560.1.1 = {
  fur = 14.8
  grain = 9.1
  wine = 19.1
  wool = 6.5
  cloth = 19.1
  fish = 7.2
  salt = 25.4
  naval_supplies = 8.0
  copper = 25.6
  iron = 29.9
  slaves = 18.0
  ivory = 20.7
  tea = 22.8
  chinaware = 32.2
  spices = 25.5
  coffee = 49.5
  cotton = 34.3
  sugar = 38.6
  tobacco = 56.5
  gold = 40
}
1601.1.2 = {
  chinaware = 41.8
  cloth = 21.2
  coffee = 50.8
  copper = 30.3
  cotton = 35.4
  fish = 7.2
  fur = 12.1
  gold = 40
  grain = 8.5
  iron = 33.3
  ivory = 26.9
  naval_supplies = 9.2
  salt = 28.3
  slaves = 17.9
  spices = 32.2
  sugar = 38.6
  tea = 29.8
  tobacco = 61.7
  wine = 20.5
  wool = 6.5
}
1500.1.1 = {
  fur = 21.4
  grain = 9.1
  wine = 17.7
  wool = 6
  cloth = 17.3
  fish = 7.2
  salt = 18.7
  naval_supplies = 5.4
  copper = 8
  iron = 10
  slaves = 18.5
  ivory = 19.5
  tea = 21.2
  chinaware = 30.2
  spices = 23.5
  coffee = 45.7
  cotton = 27.8
  sugar = 30.2
  tobacco = 48.5
  gold = 40
}

1450.1.1 = {
  fur = 17.6
  grain = 3.9
  wine = 16
  wool = 5.8
  cloth = 16.1
  fish = 10.4
  salt = 15.9
  naval_supplies = 5
  copper = 12.1
  iron = 15.4
  slaves = 12.3
  ivory = 12
  tea = 12.5
  chinaware = 18.1
  spices = 14.6
  coffee = 25
  cotton = 15.2
  sugar = 16.8
  tobacco = 26.2
  gold = 40
}


1612.2.16 = {
  chinaware = 41.2
  cloth = 22.6
  coffee = 51.7
  copper = 37.9
  cotton = 36.4
  fish = 7.3
  fur = 9.2
  gold = 40
  grain = 13.7
  iron = 37.2
  ivory = 26.0
  naval_supplies = 12.2
  salt = 29.5
  slaves = 18.0
  spices = 33.1
  sugar = 38.5
  tea = 29.4
  tobacco = 61.7
  wine = 20.4
  wool = 7.2
}
1617.5.7 = {
  chinaware = 44.8
  cloth = 22.3
  coffee = 50.5
  copper = 14.0
  cotton = 35.2
  fish = 6.3
  fur = 19.0
  gold = 40
  grain = 13.8
  iron = 14.5
  ivory = 28.7
  naval_supplies = 5.7
  salt = 28.5
  slaves = 17.9
  spices = 34.4
  sugar = 38.5
  tea = 32.0
  tobacco = 61.7
  wine = 19.9
  wool = 6.7
}
1626.1.2 = {
  chinaware = 50.0
  cloth = 21.4
  coffee = 50.3
  copper = 14.4
  cotton = 35.2
  fish = 6.1
  fur = 18.8
  gold = 40
  grain = 14.8
  iron = 14.5
  ivory = 32.0
  naval_supplies = 5.8
  salt = 28.1
  slaves = 17.8
  spices = 38.3
  sugar = 38.4
  tea = 35.8
  tobacco = 61.7
  wine = 19.7
  wool = 6.6
}
1631.5.16 = {
  chinaware = 48.5
  cloth = 22.6
  coffee = 50.3
  copper = 39.7
  cotton = 35.5
  fish = 6.4
  fur = 9.2
  gold = 40
  grain = 16.8
  iron = 36.3
  ivory = 30.8
  naval_supplies = 11.7
  salt = 28.9
  slaves = 17.8
  spices = 38.5
  sugar = 38.5
  tea = 34.5
  tobacco = 61.7
  wine = 20.0
  wool = 7.3
}
1635.10.7 = {
  chinaware = 52.7
  cloth = 21.3
  coffee = 49.7
  copper = 21.2
  cotton = 35.1
  fish = 6.4
  fur = 15.9
  gold = 40
  grain = 16.6
  iron = 21.5
  ivory = 33.8
  naval_supplies = 11.7
  salt = 28.2
  slaves = 17.8
  spices = 41.9
  sugar = 38.5
  tea = 37.9
  tobacco = 61.6
  wine = 19.5
  wool = 6.7
}
1641.11.9 = {
  chinaware = 40.7
  cloth = 24.1
  coffee = 49.3
  copper = 46.4
  cotton = 35.1
  fish = 7.7
  fur = 6.2
  gold = 40
  grain = 13.9
  iron = 42.2
  ivory = 26.3
  naval_supplies = 11.9
  salt = 30.6
  slaves = 17.8
  spices = 32.5
  sugar = 38.3
  tea = 29.4
  tobacco = 61.6
  wine = 23.6
  wool = 7.6
}
1645.5.30 = {
  chinaware = 39.9
  cloth = 23.1
  coffee = 49.3
  copper = 38.3
  cotton = 35.5
  fish = 8.8
  fur = 9.7
  gold = 40
  grain = 16.0
  iron = 36.4
  ivory = 25.8
  naval_supplies = 12.3
  salt = 31.1
  slaves = 17.7
  spices = 32.3
  sugar = 38.3
  tea = 29.3
  tobacco = 61.6
  wine = 24.5
  wool = 8.3
}
1653.4.12 = {
  chinaware = 48.3
  cloth = 23.0
  coffee = 49.1
  copper = 29.8
  cotton = 35.1
  fish = 9.8
  fur = 13.1
  gold = 40
  grain = 20.0
  iron = 32.2
  ivory = 31.3
  naval_supplies = 12.4
  salt = 30.2
  slaves = 17.7
  spices = 39.9
  sugar = 38.2
  tea = 34.9
  tobacco = 61.6
  wine = 22.9
  wool = 7.3
}
1660.11.2 = {
  chinaware = 49.8
  cloth = 22.2
  coffee = 49.0
  copper = 16.2
  cotton = 35.4
  fish = 7.5
  fur = 18.7
  gold = 40
  grain = 20.8
  iron = 16.4
  ivory = 31.6
  naval_supplies = 7.7
  salt = 29.3
  slaves = 17.7
  spices = 37.7
  sugar = 38.2
  tea = 35.9
  tobacco = 61.6
  wine = 19.8
  wool = 6.5
}

1667.1.30 = {
  chinaware = 46.0
  cloth = 24.5
  coffee = 51.0
  copper = 48.1
  cotton = 35.7
  fish = 8.3
  fur = 7.2
  gold = 40
  grain = 24.0
  iron = 33.8
  ivory = 29.0
  naval_supplies = 12.9
  salt = 28.8
  slaves = 17.7
  spices = 40.3
  sugar = 38.3
  tea = 33.1
  tobacco = 62.0
  wine = 20.5
  wool = 6.3
}

1670.11.6 = {
  chinaware = 43.8
  cloth = 24.3
  coffee = 50.3
  copper = 53.1
  cotton = 36.4
  fish = 8.3
  fur = 5.8
  gold = 40
  grain = 26.7
  iron = 34.0
  ivory = 28.1
  naval_supplies = 11.8
  salt = 29.8
  slaves = 18.0
  spices = 37.0
  sugar = 38.9
  tea = 31.8
  tobacco = 61.8
  wine = 20.7
  wool = 6.8
}

1676.11.8 = {
  chinaware = 52.8
  cloth = 21.5
  coffee = 49.0
  copper = 20.9
  cotton = 34.9
  fish = 6.5
  fur = 18.0
  gold = 40
  grain = 23.3
  iron = 19.3
  ivory = 33.6
  naval_supplies = 7.3
  salt = 28.7
  slaves = 17.6
  spices = 39.6
  sugar = 38.9
  tea = 38.2
  tobacco = 61.5
  wine = 19.8
  wool = 5.6
}

1686.2.9 = {
  chinaware = 53.0
  cloth = 21.3
  coffee = 48.7
  copper = 19.3
  cotton = 34.9
  fish = 6.5
  fur = 18.9
  gold = 40
  grain = 25.6
  iron = 16.3
  ivory = 35.0
  naval_supplies = 7.4
  salt = 28.7
  slaves = 17.6
  spices = 41.3
  sugar = 38.0
  tea = 39.9
  tobacco = 61.5
  wine = 19.5
  wool = 5.2
}
1703.5.4 = {
  chinaware = 52.8
  cloth = 22.7
  coffee = 48.4
  copper = 20.2
  cotton = 34.7
  fish = 6.5
  fur = 18.9
  gold = 40
  grain = 24.0
  iron = 16.7
  ivory = 34.9
  naval_supplies = 7.1
  salt = 29.0
  slaves = 17.5
  spices = 41.4
  sugar = 38.0
  tea = 39.9
  tobacco = 61.4
  wine = 20.0
  wool = 4.9
}

1711.6.6 = {
  chinaware = 52.7
  cloth = 22.8
  coffee = 48.3
  copper = 40.0
  cotton = 34.7
  fish = 6.5
  fur = 13.9
  gold = 40
  grain = 25.5
  iron = 31.0
  ivory = 32.4
  naval_supplies = 10.7
  salt = 28.8
  slaves = 20.4
  spices = 41.9
  sugar = 38.0
  tea = 39.9
  tobacco = 61.4
  wine = 19.6
  wool = 4.8
}

1715.6.3 = {
  chinaware = 52.6
  cloth = 25.1
  coffee = 48.3
  copper = 45.6
  cotton = 36.72
  fish = 6.4
  fur = 13.0
  gold = 40
  grain = 22.6
  iron = 34.4
  ivory = 32.8
  naval_supplies = 8.8
  salt = 29.6
  slaves = 20.3
  spices = 44.6
  sugar = 38.0
  tea = 40.8
  tobacco = 61.7
  wine = 20.2
  wool = 5.7
}
